model,AP,ROC_AUC,F1_best,F1_0.5,best_threshold,best_iteration,notes
baseline,0.12619633777392048,0.6590038995627924,0.18974546340239487,0.0,0.07884291494220971,134,
focal,0.1216813284753789,0.6535314213966722,0.18673689250615935,0.0015661707126076742,0.0334702574970991,266,
final,,,,,,150,
optuna_cv,,,,,,150,
