feature,importance
merchant_freq,5875.01371575892
unique_items,4174.097133517265
day_span,2854.409527629614
unique_categories,2182.720875695348
actions_2,2106.705455929041
actions_0,1747.4245110750198
activity_len,1013.8184733986855
actions_3,765.9696795940399
unique_brands,400.5010558664799
gender,373.81158195436
age_range,359.5435027182102
has_1111,0.0
