feature,gain,split
merchant_freq,18664.98684990406,1356
unique_items,12702.29122364521,454
actions_2,7869.554731249809,208
unique_categories,7665.249999523163,254
day_span,7582.42354670167,608
actions_0,3327.1735203266144,533
activity_len,2245.2128579616547,326
age_range,1926.2673267126083,240
actions_3,1196.825412094593,226
gender,908.6912457942963,130
unique_brands,849.9694913625717,128
has_1111,0.0,0
