feature,importance
merchant_freq,6117.2641677856445
unique_items,4420.195114582777
actions_2,2306.607846751809
day_span,1926.1974130570889
unique_categories,1873.7039476186037
age_range,862.3448646962643
actions_0,771.2647330462933
activity_len,451.98072047531605
unique_brands,361.60113179683685
actions_3,322.65499682724476
gender,312.34887316823006
has_1111,0.0
